Mfr	Part	Description	Unit	StandardPack	Price	List	BarCode	Mfr.Part.Unit
VER	10210	5/32 HSS DRILL BIT	EA	1	0.92	1.32	0045325102107	VER.10210.EA
VER	10214	7/32 HSS DRILL BIT	EA	1	1.44	2.06	0045325102145	VER.10214.EA
VER	11803	NO 3 JOBBER DRILL	EA	1	2.09	2.98	045325118030	VER.11803.EA
VER	12354	1/16 TITANIUM NITRIDE DRILL BIT	EA	1	1.85	2.64	045325123546	VER.12354.EA
VER	12356	3/32 TITANIUM NITRIDE DRILL BIT	EA	1	2.09	2.98	045325123560	VER.12356.EA
VER	12357	7/64 TITANIUM NITRIDE DRILL BIT	EA	1	2.10	3.00	045325123577	VER.12357.EA
VER	12364	7/32 TITANIUM NITRIDE DR	EA	1	3.70	5.28	045325123645	VER.12364.EA
VER	12366	1/4 TITANIUM NITRIDE DRILL BIT	EA	1	3.54	5.06	045325123669	VER.12366.EA
VER	12370	5/16 TITANIUM NITRIDE DR	EA	1	5.63	8.04	045325123706	VER.12370.EA
VER	12374	3/8 TITANIUM NITRIDE DR	EA	1	8.06	11.52	045325123744	VER.12374.EA
VER	12654	1/16 COBALT DRILL BIT	EA	1	1.20	1.72	0045325126547	VER.12654.EA
VER	12656	3/32 COBALT DRILL BIT	EA	1	1.26	1.80	0045325126561	VER.12656.EA
VER	12660	5/32 COBALT DRILL BIT	EA	1	1.82	2.60	0045325126608	VER.12660.EA
VER	12661	11/64 COBALT DRILL BIT	EA	1	1.85	2.64	045325126615	VER.12661.EA
VER	12671	21/64 COBALT DRILL BIT	EA	1	5.43	7.76	0045325126714	VER.12671.EA
VER	12672	11/32 COBALT DRILL BIT	EA	1	6.27	8.96	0045325126721	VER.12672.EA
VER	12676	13/32 COBALT DRILL BIT	EA	1	8.26	11.80	0045325126769	VER.12676.EA
VER	12677	27/64 COBALT DRILL BIT	EA	3	8.71	12.44	0045325126776	VER.12677.EA
VER	13158	1/8 X 6 HSS DRILL-CARD	EA	1	2.39	3.42	0045325131589	VER.13158.EA
VER	13458	1/8 HSS LEFT HAND DRILL BIT	EA	1	3.02	4.32	045325134580	VER.13458.EA
VER	13462	3/16 HSS LEFT HAND DRILL BIT	EA	1	3.98	5.68	045325134627	VER.13462.EA
VER	13466	1/4 LEFT HAND DRILL-CARD	EA	1	5.56	7.94	045325134665	VER.13466.EA
VER	15098	6 PC POWER BIT SET	EA	1	7.83	11.18	045325150986	VER.15098.EA
VER	15338	#1 SQ INSERT BIT	PK	1	1.32	1.88	045325153383	VER.15338.PK
VER	15339	2 SQ RECESS 1/4 BIT 2 PK	EA	1	1.32	1.88	045325153390	VER.15339.EA
VER	15340	#3 SQ REC INS BIT CD OF 2	EA	1	1.32	1.88	045325153406	VER.15340.EA
VER	15349	TX7 TORX INSERT BIT	EA	1	3.32	4.74	045325153499	VER.15349.EA
VER	15350	TX8 SEC TORX BIT	EA	1	3.32	4.74	045325153505	VER.15350.EA
VER	15493	7"DRIVER/5 RV BITS CD	EA	1	9.21	13.16	045325154939	VER.15493.EA
VER	15745	TX45 BIT 3/8 DRILL-CARD	EA	1	4.03	5.76	045325157459	VER.15745.EA
VER	15747	TX47 BIT 3/8 DRILL-CARD	EA	1	4.03	5.76	045325157473	VER.15747.EA
VER	15755	TX55 BIT 3/8 DRILL-CARD	EA	1	4.03	5.76	045325157558	VER.15755.EA
VER	16789	WIRE WHEEL 2-1/2" COARSE	EA	1	2.79	3.98	045325167892	VER.16789.EA
VER	20774	7/16-14 1" HEX DIE-CARD	EA	1	2.90	4.14	0045325207741	VER.20774.EA
VER	21124	5MM-.90 PLUG TAP-CARD	EA	1	2.32	3.32	0045325211243	VER.21124.EA
VER	21140	10MM-1.00 SPARK PLUG TAP-	EA	1	3.93	5.62	0045325211403	VER.21140.EA
VER	21229	6MM-1.00 HEX DIE-CARD	EA	1	3.07	4.38	0045325212295	VER.21229.EA
VER	21240	10MMX1.00 HEX DIE	EA	1	3.07	4.38	0045325212400	VER.21240.EA
VER	21242	10MM-1.50 HEX DIE-CARD	EA	1	3.07	4.38	0045325212424	VER.21242.EA
VER	21862	#2 STRT SCREW EXT-CARD	EA	1	2.06	2.94	045325218624	VER.21862.EA
VER	21916	T-HANDLE TAP WRENCH 0-1/4	EA	1	3.79	5.42	045325219164	VER.21916.EA
VER	21932	PROF. 1" ADJ DIE STOCK	EA	1	11.21	16.02	0045325219324	VER.21932.EA
VER	60176	8-10 WOODEN FILE HANDLE	EA	1	2.13	3.04	045325601761	VER.60176.EA
VER	79850	WATER NOZZLE-STANDARD-DIE	EA	1	4.35	6.22	045325798508	VER.79850.EA
VER	79860	QUICK COUP SET M/F	EA	1	6.30	9.00	045325798607	VER.79860.EA
VER	80465	#55 IMP QUAL TORX 3/8DR C	EA	1	8.43	12.04	045325804650	VER.80465.EA
VGP	1	#10231 UNIBIT 1/8-1/2"	EA	5	23.71	35.14	038548101019	VGP.1.EA
VGP	2	#10232 UNIBIT 3/16-1/2	EA	5	23.71	35.14	038548101026	VGP.2.EA
VGP	3	#10233 UNIBIT 1/4-3/4"	EA	5	42.73	63.32	038548101033	VGP.3.EA
VGP	6R	C CLAMP	EA	5	12.04	17.85	038548000176	VGP.6R.EA
VGP	6SP	6"LCKG C-CLAMP W/SWIVEL P	EA	5	13.56	20.09	038548000183	VGP.6SP.EA
